evento;data_pico_estrela;q_estrela;data_pico_mucum;q_mucum;defasagem_dias;razao_q;expoente;origem_da_cheia
2023-11-19;2023-11-19;17260,9;2023-11-18;9401,1;1;1,836;1,7887036211578795;tributarios de jusante dominam
2023-11-14;2023-11-19;17260,9;2023-11-18;9401,1;1;1,836;1,7887036211578795;tributarios de jusante dominam
2023-09-05;2023-09-05;17145,1;2023-09-05;15092,3;0;1,136;0,3753909765910981;"montante de Mucum domina; forte amortecimento"
2023-10-08;2023-10-08;8838,7;2023-10-08;5275,6;0;1,675;1,5185206329653522;tributarios de jusante dominam
2023-10-13;2023-10-08;8838,7;2023-10-08;5275,6;0;1,675;1,5185206329653522;tributarios de jusante dominam
2023-07-13;2023-07-13;8203,9;2023-07-13;5627,5;0;1,458;1,1100568638562835;tributarios de jusante dominam
2022-05-04;2022-05-04;7719,1;2022-05-04;4650,8;0;1,66;1,4920382769470117;tributarios de jusante dominam
2023-10-18;2023-10-18;6853,6;2023-10-13;3702,6;5;1,851;1,812657662121203;tributarios de jusante dominam
2022-06-07;2022-06-07;6409,4;2022-06-07;4118,9;0;1,556;1,3015680810790797;tributarios de jusante dominam
2022-06-23;2022-06-23;6205,2;2022-06-23;3724,2;0;1,666;1,5026598232569923;tributarios de jusante dominam
2022-05-30;2022-05-30;5982,4;2022-05-30;4470,2;0;1,338;0,8572032189924337;distribuida
2023-06-17;2023-06-17;4132,0;2023-06-16;2191,2;1;1,886;1,8678039033011147;tributarios de jusante dominam
2023-09-20;2023-09-20;3657,0;2023-09-20;2164,4;0;1,69;1,544766887571357;tributarios de jusante dominam
2023-11-04;2023-11-04;3433,5;2023-11-04;2275,3;0;1,509;1,211273914547042;tributarios de jusante dominam
2023-09-26;2023-09-26;3230,8;2023-09-26;2197,0;0;1,471;1,1361896131929385;tributarios de jusante dominam
2021-06-28;2021-06-28;3074,2;2021-06-28;2207,4;0;1,393;0,9757959265664221;distribuida
